Hr,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Line8
0,60.2103,34.2138,43.2254,26.739,41.9147,21.345,38.7674,13.4473
1,64.5081,46.9059,49.3764,40.2387,41.5123,24.1042,42.9794,36.7019
2,23.5202,25.428,16.8876,24.4352,16.371,7.03587,9.34104,13.4151
3,53.6928,57.1418,40.0855,44.6024,35.7221,35.7185,38.2883,38.0759
4,52.3663,40.0759,38.0146,39.9705,36.0156,2.90504,37.5444,39.9705
5,56.584,42.6607,40.7722,40.9384,39.2348,11.9994,38.9727,38.7017
6,50.95,32.2295,37.0561,29.8653,34.9678,12.1162,37.0561,10.2903
7,51.3016,24.8212,48.8061,20.9205,15.8055,13.3576,41.5791,17.5975
8,61.6492,54.4839,45.4821,40.0835,41.6172,36.9027,42.7065,39.4841
9,54.8822,49.1762,40.3471,47.0395,37.2045,14.3381,37.8097,42.2344
10,29.0939,30.2474,18.3339,20.7782,22.5903,21.9811,15.8083,14.367
11,64.048,49.5027,51.1257,44.4417,38.5786,21.805,45.25,40.4898
12,49.0329,33.1199,45.758,27.7059,17.6193,18.1469,43.4595,20.707
13,62.6141,64.5428,47.4743,47.5338,40.8254,43.6612,42.4426,42.0974
14,68.0645,47.7489,56.5866,44.4416,37.8251,17.4613,45.2404,38.0345
15,56.2078,38.5847,50.0356,32.0274,25.6079,21.518,42.7812,21.4774
16,60.7896,66.7486,47.1693,50.2596,38.3462,43.9243,42.8189,42.1596
17,68.7968,63.2322,52.959,47.2333,43.9129,42.0395,46.8117,43.5336
18,62.5557,55.3855,45.6767,47.2455,42.7417,28.9036,36.7703,43.1986
19,62.9448,33.1967,39.7058,25.6735,48.8416,21.045,34.9678,10.4746
20,42.6055,45.5072,37.0408,35.5549,21.0525,28.4033,22.8637,23.0776
21,67.7198,36.8176,50.9638,34.5124,44.5945,12.8231,47.1116,26.8403
22,53.4215,44.0788,50.091,31.2338,18.5672,31.1028,43.2074,20.7848
23,64.6899,29.2165,53.4798,18.3626,36.3964,22.7248,44.5031,9.14152
